Quadrat_ID,Mining_type,Photo_File_Name,Plate_Reference,Observed_Structural_Features,Visible_Ground_Stratum,Observation_Tier,Verification_Status
UG-Q1,Underground,UG-Q1_photo_4.jpeg,Appendix F Photographic Plates (UG-Q1),Mature tree architecture (Terminalia/Vachellia) near colliery infrastructure; exposed ground with dry litter and scanty vegetation.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q1,Underground,UG-Q1_photo_5.jpeg,Appendix F Photographic Plates (UG-Q1),Mature tree architecture (Terminalia/Vachellia) near colliery infrastructure; exposed ground with dry litter and scanty vegetation.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q1,Underground,UG-Q1_photo_6.jpeg,Appendix F Photographic Plates (UG-Q1),Mature tree architecture (Terminalia/Vachellia) near colliery infrastructure; exposed ground with dry litter and scanty vegetation.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q2,Underground,UG-Q2_photo_1.jpeg,Appendix F Photographic Plates (UG-Q2),Mature Wrightia & Azadirachta; dry litter with scattered understory growth; intact foliage condition; moderate canopy spacing.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q2,Underground,UG-Q2_photo_2.jpeg,Appendix F Photographic Plates (UG-Q2),Mature Wrightia & Azadirachta; dry litter with scattered understory growth; intact foliage condition; moderate canopy spacing.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q2,Underground,UG-Q2_photo_3.jpeg,Appendix F Photographic Plates (UG-Q2),Mature Wrightia & Azadirachta; dry litter with scattered understory growth; intact foliage condition; moderate canopy spacing.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q2,Underground,UG-Q2_photo_4.jpeg,Appendix F Photographic Plates (UG-Q2),Mature Wrightia & Azadirachta; dry litter with scattered understory growth; intact foliage condition; moderate canopy spacing.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q3,Underground,UG-Q3_photo_1.jpeg,Appendix F Photographic Plates (UG-Q3),Dense Shorea robusta (Sal) canopy; conspicuous understory vegetation with regenerating saplings and shrubs; high forest density.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q3,Underground,UG-Q3_photo_2.jpeg,Appendix F Photographic Plates (UG-Q3),Dense Shorea robusta (Sal) canopy; conspicuous understory vegetation with regenerating saplings and shrubs; high forest density.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q3,Underground,UG-Q3_photo_3.jpeg,Appendix F Photographic Plates (UG-Q3),Dense Shorea robusta (Sal) canopy; conspicuous understory vegetation with regenerating saplings and shrubs; high forest density.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q3,Underground,UG-Q3_photo_4.jpeg,Appendix F Photographic Plates (UG-Q3),Dense Shorea robusta (Sal) canopy; conspicuous understory vegetation with regenerating saplings and shrubs; high forest density.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q4,Underground,UG-Q4_photo_1.jpeg,Appendix F Photographic Plates (UG-Q4),Dominant mature Ficus & Mangifera; massive trunk girths; forest floor with dry litter accumulation and bare soil patches.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q4,Underground,UG-Q4_photo_2.jpeg,Appendix F Photographic Plates (UG-Q4),Dominant mature Ficus & Mangifera; massive trunk girths; forest floor with dry litter accumulation and bare soil patches.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q4,Underground,UG-Q4_photo_3.jpeg,Appendix F Photographic Plates (UG-Q4),Dominant mature Ficus & Mangifera; massive trunk girths; forest floor with dry litter accumulation and bare soil patches.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q5,Underground,UG-Q5_photo_1.jpeg,Appendix F Photographic Plates (UG-Q5),Moderate canopy density with broad leaves (Terminalia/Alstonia); dark bark patches; dry litter and poor understory growth.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q5,Underground,UG-Q5_photo_2.jpeg,Appendix F Photographic Plates (UG-Q5),Moderate canopy density with broad leaves (Terminalia/Alstonia); dark bark patches; dry litter and poor understory growth.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q5,Underground,UG-Q5_photo_3.jpeg,Appendix F Photographic Plates (UG-Q5),Moderate canopy density with broad leaves (Terminalia/Alstonia); dark bark patches; dry litter and poor understory growth.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q5,Underground,UG-Q5_photo_4.jpeg,Appendix F Photographic Plates (UG-Q5),Moderate canopy density with broad leaves (Terminalia/Alstonia); dark bark patches; dry litter and poor understory growth.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q5,Underground,UG-Q5_photo_5.jpeg,Appendix F Photographic Plates (UG-Q5),Moderate canopy density with broad leaves (Terminalia/Alstonia); dark bark patches; dry litter and poor understory growth.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
UG-Q5,Underground,UG-Q5_photo_6.jpeg,Appendix F Photographic Plates (UG-Q5),Moderate canopy density with broad leaves (Terminalia/Alstonia); dark bark patches; dry litter and poor understory growth.,"Documented in photo: dry litter, bare soil patches, scattered understory/saplings",Tier 2: Direct Visual Photographic Plate Evidence,Verified from Field Photographic Archive
